;Istanbul;Omurlu;Uskudar;Diyarbakir district;Lice district;Malatya;Ceylanpinar;Yuksekova;Konak District;Ordu;Uzumlu;Dortyol;Kizilsu;Van;Kabala;Sur district;Baykoy;Kucukmece;Pendik;Midyat;Toroslar;Bursa;Kadikoy district;Kirikkale;Kocakoy;Gebze district;Mersin;Yesilkoy;Dogansar District;Ercis district;Pulumur;Isparta;Kasimli;Pinarbasi;Sultangazi district;Cesme;Hani district;Alacakaya;Nusaybin;Batman;Belenoluk;Aydin;Torul;Cankiri;Dikbiyik;Hakkari;Duzici district;Sirnak;Caglayan;Akcay;Sanliurfa;Mardinkapi;Kusadasi district;Yuksekova District;Yenimahalle District;Beytussebap district;Gaziantep;Erzin;Semdinli district;Hatay;Yenisehir;Pozanti;Bulanik;Besikduzu;Bitlis;Mus;Diyadin District;Cat district;Lice;Of;Iskenderun;Payas;Dogubeyazit district;Silopi;Beytussebap;Bademli;Solhan;Bukardi;Cizre District;Bingol;Kiziltepe District;Pervari;Mezra;Izmir;Cigdemli;Tatvan;Samsun;Omerli;Yenikoy;Tokat;Dazya;Hozat district;Silvan;Marmaris;Hizan district;Nazimiye district;Aritis;Bakacak;Egirmec;Antakya;Diyarbakir;Elazig;Izmit;Malazgirt;Magara;Seyhan District;Kozluk;Derik district;Buca district;Kulp district;Ziyaret;Resadiye District;Taskoy;Nusaybin district;Sason;Guclukonak District;Ercis;Karliova;Genc district;Kigi;Semdinli;Adana;Karakocan district;Hani;Ozalp;Saray;Yuksekova district;Genc;Cukurca district;Diyadin;Mesepinar;Gecitalan;Konya;Akdana;Celtiksuyu;Suruc;Islahiye district;Cizre;Erzincan;Cinar;Gecitli;Antalya;Ogulveren;Ankara;Caldiran district;Beldeler;Arabaslik;Eskisehir;Geyiksuyu;Cukurca;Dicle;Cayirli;Saricam District;Reyhanli;Siran;Servi;Kemer;Cizre district;Refahiye;Catak;Tunceli;Daglica
Ogulveren;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;1;0;0;0;1;0;0;1;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;1
Ankara;10;1;1;1;1;2;1;2;1;1;0;1;1;4;1;1;1;1;1;0;1;1;1;0;2;1;4;0;1;1;2;1;1;1;1;0;1;1;2;3;1;1;1;1;1;4;0;2;1;1;2;1;0;1;1;1;2;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;2;0;1;1;1;1;1;1;1;1;1;3;1;2;1;1;1;1;1;1;1;1;1;1;1;0;0;1;6;1;0;1;0;1;1;1;1;1;1;1;0;1;0;1;0;1;1;1;5;3;1;2;1;1;4;1;1;1;1;0;1;1;1;1;0;2;0;1;0;3;1;0;1;1;1;1;1;2;2;1;1;2;1;1;1;1;1;2;2;2
Caldiran district;1;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;1;0;0;0;0;1;1;0;0;1;1;0;0;0;0;1;0;1;1;1;0;0;0;1;0;0;0;0;1;0;0;1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;1;1;1;0;1;1;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;1;0;0;1;0;0;0;0;1;1;0
Beldeler;1;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;1;0;0;0;1;0;1;1;0;1;0;0;0;0;0;1;0;1;0;1;0;0;0;0;1;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0
Arabaslik;1;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0
Eskisehir;1;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
Geyiksuyu;1;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;1;0;0;0;0;1;1;0;0;1;1;0;0;0;0;1;0;1;1;1;0;0;0;1;0;0;0;0;1;0;0;1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;1;1;1;0;1;1;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;1;0;0;1;0;0;0;0;1;1;0
Cukurca;2;1;0;0;1;1;0;2;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;1;1;1;0;0;0;1;0;1;0;0;0;1;0;1;0;1;0;1;0;1;1;0;1;1;1;0;0;0;1;0;0;0;0;1;0;0;0;1;1;1;0;0;0;1;0;1;1;2;0;0;0;1;1;1;0;0;1;1;1;0;1;0;1;0;1;1;1;1;0;0;1;0;0;0;1;2;1;0;1;0;1;1;0;0;0;1;1;0;0;0;1;0;1;1;1;2;1;1;1;0;1;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;1;0;2;1;0;1;1;1;0;1;1;0;0;1;0;0;0;1;1;1;0
Dicle;2;1;0;0;1;1;0;1;0;0;0;0;0;2;0;1;1;0;1;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;1;0;1;1;0;1;1;0;0;2;0;1;0;1;0;0;0;1;0;0;0;0;2;0;1;0;1;0;1;0;0;0;1;0;1;0;1;0;0;1;0;1;1;0;0;1;1;1;1;0;0;1;1;1;1;1;0;0;0;1;0;0;0;0;2;0;0;1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;1;1;2;1;1;1;1;1;2;1;1;1;1;0;0;1;0;1;0;0;0;0;0;1;1;2;1;0;0;0;1;1;0;1;0;1;1;0;1;0;0;1;1;1
Cayirli;2;1;0;0;1;0;0;1;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;2;0;0;0;0;1;1;0;0;1;1;0;0;0;0;1;0;1;1;1;0;0;0;1;0;0;0;0;1;0;0;1;1;1;0;0;0;0;1;0;1;0;0;1;0;0;1;1;1;0;1;1;0;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;1;0;0;0;1;0;0;0;0;1;1;0
Saricam District;1;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;1;0;0;0;1;0;1;1;0;1;0;0;0;0;0;1;0;1;0;1;0;0;0;0;1;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
Reyhanli;2;0;1;0;0;1;0;0;1;0;0;0;0;2;0;1;1;0;1;0;1;1;0;0;0;0;2;0;1;0;1;0;0;0;0;0;0;1;0;2;0;1;0;1;0;2;0;1;0;0;1;0;0;0;1;0;1;1;1;1;1;0;0;0;0;1;0;1;0;1;0;0;0;0;1;1;0;0;0;1;1;0;0;2;1;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;2;1;0;1;1;0;1;0;0;0;1;0;1;1;0;1;0;0;0;0;0;1;1;2;0;1;0;0;0;0;1;0;1;0;0;1;1;0;0;0;0;1
Siran;1;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;1;0;0;0;0;1;1;0;0;1;1;0;0;0;0;1;0;1;1;1;0;0;0;1;0;0;0;0;1;0;0;1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;1;1;1;0;1;1;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0;1;1;0
Servi;1;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;1;0;0;0;1;0;1;1;0;1;0;0;0;0;0;1;0;1;0;1;0;0;0;0;1;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
Kemer;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;1;0;0;0;1;0;0;1;0;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1
Cizre district;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Refahiye;1;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Catak;2;1;0;0;1;0;1;1;0;0;0;0;1;2;1;0;0;0;0;0;0;0;1;0;2;0;1;0;0;1;1;1;0;1;1;0;1;0;2;1;0;0;1;0;0;2;0;0;0;1;0;1;0;1;0;1;0;0;1;0;0;1;1;0;1;0;1;0;1;0;1;0;1;0;0;0;0;1;1;0;0;1;1;0;0;1;0;1;0;1;1;1;0;0;0;1;0;0;0;0;2;0;0;1;0;1;0;0;0;1;1;0;0;0;0;1;0;0;1;1;2;1;1;1;0;1;2;1;1;1;0;0;0;0;0;0;0;1;0;1;0;0;0;2;1;0;0;0;1;1;1;1;0;0;1;0;0;0;0;0;2;1
Tunceli;2;1;0;0;1;0;1;1;0;0;0;0;1;2;1;0;0;0;0;0;0;0;1;0;2;0;1;0;0;1;1;1;0;1;1;0;1;0;2;1;0;0;1;0;0;2;0;0;0;1;0;1;0;1;0;1;0;0;1;0;0;1;1;0;1;0;1;0;1;0;1;0;1;0;0;0;0;1;1;0;0;1;1;0;0;1;0;1;0;1;1;1;0;0;0;1;0;0;0;0;2;0;0;1;0;1;0;0;0;1;1;0;0;0;0;1;0;0;1;1;2;1;1;1;0;1;2;1;1;1;0;0;0;0;0;0;0;1;0;1;0;0;0;2;1;0;0;0;1;1;1;1;0;0;1;0;0;0;0;2;0;1
Daglica;2;0;0;0;0;1;1;0;0;0;0;0;1;2;1;1;1;0;1;0;0;0;1;0;1;0;2;0;0;1;0;1;0;1;1;0;0;0;1;2;0;1;0;0;0;2;0;1;0;0;0;1;0;0;0;1;0;0;1;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;2;0;0;1;0;2;0;0;0;1;0;0;1;0;1;0;1;0;1;0;1;1;2;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;1;1;0
